location,timestamp,pm25,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,rainfall,pressure,aqi,day,month,hour,season,location_encoded,aqi_lag1,aqi_lag24,pm25_rolling7,target_24h,target_48h,target_72h,target_7d
Indore,2024-01-01 10:00:00,101.46,151.24,54.91,18.71,0.85,48.52,12.9,53.0,8.4,15.0,1011.4,222,1,1,10,1,3,306.0,311.0,128.50142857142856,334.0,302.0,391.0,253.0
Bengaluru,2024-01-01 11:00:00,101.37,166.81,59.83,18.56,0.56,48.97,29.2,59.1,9.9,3.0,1004.1,230,1,1,11,1,5,222.0,311.0,127.17857142857143,158.0,346.0,236.0,500.0
Bhopal,2024-01-01 12:00:00,129.68,194.67,89.15,10.45,1.4,29.88,31.6,56.5,9.3,15.0,1010.0,289,1,1,12,1,1,230.0,311.0,129.9,284.0,220.0,204.0,306.0
Delhi,2024-01-01 13:00:00,43.47,70.9,12.01,13.5,1.89,65.26,17.5,31.5,11.8,0.0,997.2,94,1,1,13,1,2,289.0,311.0,109.94285714285714,100.0,246.0,217.0,180.0
Mumbai,2024-01-01 14:00:00,51.0,78.73,57.74,25.67,1.69,41.75,33.0,82.8,9.2,0.0,1013.1,122,1,1,14,1,4,94.0,311.0,95.7,156.0,170.0,340.0,188.0
Bhopal,2024-01-01 15:00:00,97.51,168.63,39.09,21.61,1.43,49.94,26.2,61.9,7.6,0.0,1014.9,219,1,1,15,1,1,122.0,311.0,95.16999999999999,269.0,162.0,288.0,316.0
Bhopal,2024-01-01 16:00:00,79.49,137.38,38.62,20.71,1.64,36.52,46.0,39.4,5.1,0.0,1006.9,181,1,1,16,1,1,219.0,311.0,86.28285714285714,319.0,324.0,232.0,234.0
Bengaluru,2024-01-01 17:00:00,132.57,210.91,38.08,22.14,1.39,34.25,11.8,24.9,6.0,0.0,1008.7,285,1,1,17,1,5,181.0,311.0,90.72714285714287,275.0,372.0,301.0,327.0
Pune,2024-01-01 18:00:00,83.68,128.89,33.46,20.65,0.69,61.28,36.6,20.8,10.1,0.0,1004.0,181,1,1,18,1,6,285.0,311.0,88.2,239.0,257.0,279.0,293.0
Pune,2024-01-01 19:00:00,63.51,98.12,74.95,28.7,0.69,45.56,24.2,70.3,2.7,0.0,998.7,152,1,1,19,1,6,181.0,311.0,78.74714285714286,246.0,331.0,348.0,267.0
Indore,2024-01-01 20:00:00,178.63,307.64,61.48,20.86,1.3,58.32,15.7,48.1,11.0,0.0,1003.0,398,1,1,20,1,3,152.0,311.0,98.05571428571429,145.0,291.0,205.0,185.0
Delhi,2024-01-01 21:00:00,110.97,169.92,48.37,9.79,1.32,41.57,23.3,50.7,6.6,15.0,1015.9,241,1,1,21,1,2,398.0,311.0,106.62285714285713,210.0,202.0,241.0,137.0
Bengaluru,2024-01-01 22:00:00,122.7,182.04,69.62,31.41,1.83,26.12,28.9,65.8,4.9,15.0,1010.1,268,1,1,22,1,5,241.0,311.0,110.22142857142856,226.0,288.0,219.0,230.0
Bengaluru,2024-01-01 23:00:00,63.01,90.35,23.8,22.59,1.78,29.83,34.3,49.7,4.0,0.0,1013.3,133,1,1,23,1,5,268.0,311.0,107.86714285714285,335.0,398.0,144.0,314.0
Bhopal,2024-01-02 00:00:00,98.22,155.85,26.71,15.88,1.7,39.44,39.1,66.7,9.7,0.0,1024.2,211,2,1,0,1,1,133.0,311.0,102.96000000000001,286.0,250.0,288.0,281.0
Delhi,2024-01-02 01:00:00,124.44,198.21,13.15,11.23,1.26,29.23,37.0,59.5,7.5,0.0,1018.0,261,2,1,1,1,2,211.0,254.0,108.78285714285714,118.0,395.0,296.0,164.0
Bengaluru,2024-01-02 02:00:00,73.96,128.42,36.81,22.77,0.71,22.5,20.2,56.7,12.6,15.0,1015.2,169,2,1,2,1,5,261.0,317.0,110.27571428571427,289.0,47.0,267.0,273.0
Pune,2024-01-02 03:00:00,135.03,200.99,50.59,19.18,1.61,54.82,34.9,32.8,3.5,15.0,1009.1,288,2,1,3,1,6,169.0,403.0,104.04714285714284,242.0,341.0,237.0,296.0
Mumbai,2024-01-02 04:00:00,95.97,148.99,49.65,31.02,1.66,30.37,29.7,44.9,5.6,0.0,1021.4,212,2,1,4,1,4,288.0,240.0,101.9042857142857,208.0,268.0,141.0,185.0
Mumbai,2024-01-02 05:00:00,108.33,186.7,50.39,17.58,0.21,39.93,22.4,67.6,7.2,0.0,1019.4,245,2,1,5,1,4,212.0,248.0,99.85142857142857,293.0,230.0,223.0,268.0
Bengaluru,2024-01-02 06:00:00,95.93,165.91,25.42,14.14,0.98,42.15,25.5,47.1,5.1,0.0,1017.4,212,2,1,6,1,5,245.0,373.0,104.55428571428571,341.0,266.0,242.0,266.0
Bhopal,2024-01-02 07:00:00,194.09,301.59,60.85,26.27,1.05,29.77,22.0,77.3,7.5,0.0,1012.0,416,2,1,7,1,1,212.0,309.0,118.25,336.0,97.0,197.0,176.0
Mumbai,2024-01-02 08:00:00,119.46,189.18,51.83,26.48,1.46,58.31,27.3,95.5,8.5,0.0,1006.5,262,2,1,8,1,4,416.0,222.0,117.53857142857143,192.0,257.0,248.0,299.0
Bhopal,2024-01-02 09:00:00,77.69,118.19,59.73,21.18,1.0,22.36,21.9,68.5,9.1,0.0,1021.1,176,2,1,9,1,1,262.0,306.0,118.07142857142857,238.0,285.0,292.0,304.0
Indore,2024-01-02 10:00:00,152.9,271.1,17.72,24.73,1.38,41.66,19.8,81.9,12.3,3.0,1017.2,334,2,1,10,1,3,176.0,222.0,120.62428571428573,302.0,391.0,429.0,347.0
Indore,2024-01-02 11:00:00,71.17,103.01,52.98,19.74,1.29,41.45,30.4,69.5,3.3,15.0,1010.8,158,2,1,11,1,3,334.0,230.0,117.08142857142857,346.0,236.0,275.0,347.0
Bhopal,2024-01-02 12:00:00,128.35,227.64,29.0,21.64,1.32,37.24,31.4,49.5,8.6,0.0,1010.3,284,2,1,12,1,1,158.0,289.0,119.94142857142856,220.0,204.0,272.0,148.0
Bengaluru,2024-01-02 13:00:00,41.61,69.64,41.64,28.15,1.04,19.84,25.7,61.2,5.4,0.0,1004.7,100,2,1,13,1,5,284.0,94.0,112.18142857142857,246.0,217.0,249.0,179.0
Indore,2024-01-02 14:00:00,66.87,107.84,56.55,24.38,1.08,50.19,36.6,90.2,8.9,0.0,1016.6,156,2,1,14,1,3,100.0,122.0,94.00714285714285,170.0,340.0,99.0,310.0
Pune,2024-01-02 15:00:00,127.87,180.69,49.46,18.82,0.86,48.41,25.2,49.6,8.9,15.0,1013.0,269,2,1,15,1,6,156.0,219.0,95.20857142857142,162.0,288.0,279.0,292.0
Indore,2024-01-02 16:00:00,149.54,237.8,34.38,29.47,1.59,28.54,24.9,41.4,4.3,0.0,1014.4,319,2,1,16,1,3,269.0,181.0,105.47285714285714,324.0,232.0,277.0,292.0
Pune,2024-01-02 17:00:00,126.85,198.29,48.1,3.45,1.69,47.9,31.6,39.9,4.6,0.0,1017.6,275,2,1,17,1,6,319.0,285.0,101.75142857142855,372.0,301.0,463.0,500.0
Mumbai,2024-01-02 18:00:00,115.37,168.96,23.5,34.36,1.01,43.25,26.1,54.5,9.1,0.0,1016.3,239,2,1,18,1,4,275.0,181.0,108.06571428571428,257.0,279.0,249.0,310.0
Bengaluru,2024-01-02 19:00:00,107.96,179.48,66.4,8.06,2.16,20.07,27.6,41.9,7.6,3.0,1006.8,246,2,1,19,1,5,239.0,152.0,105.15285714285713,331.0,348.0,289.0,338.0
Bhopal,2024-01-02 20:00:00,60.86,108.84,44.72,15.61,1.24,26.04,9.4,84.8,6.8,0.0,1012.1,145,2,1,20,1,1,246.0,398.0,107.90285714285714,291.0,205.0,273.0,343.0
Indore,2024-01-02 21:00:00,91.21,148.2,65.9,19.71,2.17,53.94,27.1,61.5,9.6,0.0,1014.5,210,2,1,21,1,3,145.0,241.0,111.38,202.0,241.0,172.0,311.0
Bengaluru,2024-01-02 22:00:00,101.57,171.24,39.58,18.97,1.08,42.33,14.2,73.5,9.8,0.0,1014.9,226,2,1,22,1,5,210.0,268.0,107.62285714285714,288.0,219.0,371.0,238.0
Indore,2024-01-02 23:00:00,162.28,231.64,39.62,27.04,0.39,30.1,18.5,53.2,5.8,0.0,1002.5,335,2,1,23,1,3,226.0,133.0,109.44285714285714,398.0,144.0,323.0,336.0
Mumbai,2024-01-03 00:00:00,133.74,209.59,35.77,12.6,1.6,25.98,17.7,39.8,4.8,15.0,1006.0,286,3,1,0,1,4,335.0,211.0,110.42714285714285,250.0,288.0,325.0,205.0
Bengaluru,2024-01-03 01:00:00,49.48,71.57,62.02,21.83,1.52,30.78,19.7,37.0,3.5,0.0,1015.9,118,3,1,1,1,5,286.0,261.0,101.01428571428572,395.0,296.0,188.0,243.0
Delhi,2024-01-03 02:00:00,132.96,218.74,36.65,15.95,1.42,31.78,23.2,43.5,7.6,15.0,1015.9,289,3,1,2,1,2,118.0,169.0,104.58571428571427,47.0,267.0,395.0,229.0
Mumbai,2024-01-03 03:00:00,104.6,185.7,58.31,22.07,1.08,26.16,23.6,63.6,2.9,3.0,1021.7,242,3,1,3,1,4,289.0,288.0,110.8342857142857,341.0,237.0,143.0,266.0
Bhopal,2024-01-03 04:00:00,92.92,154.69,41.88,19.55,1.38,13.62,31.6,66.3,7.8,15.0,1002.7,208,3,1,4,1,1,242.0,212.0,111.07857142857144,268.0,141.0,311.0,467.0
Bengaluru,2024-01-03 05:00:00,144.47,206.69,16.38,20.65,1.14,53.96,28.6,67.7,11.4,0.0,1017.4,293,3,1,5,1,5,208.0,245.0,117.20714285714287,230.0,223.0,448.0,107.0
Pune,2024-01-03 06:00:00,161.24,248.61,38.87,16.15,1.25,51.59,13.7,34.2,6.4,0.0,1014.3,341,3,1,6,1,6,293.0,212.0,117.05857142857144,266.0,242.0,182.0,321.0
Indore,2024-01-03 07:00:00,157.25,254.79,29.13,16.43,1.82,20.17,27.6,58.0,5.8,0.0,1005.7,336,3,1,7,1,3,341.0,416.0,120.41714285714286,97.0,197.0,214.0,120.0
Pune,2024-01-03 08:00:00,86.43,134.94,48.54,22.01,1.49,39.91,29.2,41.6,13.9,3.0,1001.4,192,3,1,8,1,6,336.0,262.0,125.69571428571429,257.0,248.0,279.0,228.0
Bengaluru,2024-01-03 09:00:00,107.63,186.57,28.95,26.61,1.7,25.37,24.7,64.4,12.3,0.0,1017.6,238,3,1,9,1,5,192.0,176.0,122.07714285714287,285.0,292.0,225.0,350.0
Bhopal,2024-01-03 10:00:00,133.25,229.97,62.82,15.81,1.28,34.34,26.6,65.7,5.1,0.0,1006.1,302,3,1,10,1,1,238.0,334.0,126.17,391.0,429.0,138.0,271.0
Pune,2024-01-03 11:00:00,159.02,261.55,46.54,13.92,1.23,33.17,28.3,39.2,7.9,0.0,1004.1,346,3,1,11,1,6,302.0,158.0,135.61285714285714,236.0,275.0,256.0,170.0
Pune,2024-01-03 12:00:00,100.83,156.23,45.16,24.29,0.82,32.01,32.4,73.5,8.6,3.0,1014.7,220,3,1,12,1,6,346.0,284.0,129.37857142857143,204.0,272.0,172.0,203.0
Pune,2024-01-03 13:00:00,112.57,169.1,58.49,19.77,1.21,66.04,16.0,95.4,8.2,3.0,1011.9,246,3,1,13,1,6,220.0,100.0,122.42571428571429,217.0,249.0,300.0,315.0
Bengaluru,2024-01-03 14:00:00,75.75,109.25,63.42,25.81,0.1,31.84,25.3,71.4,13.3,0.0,1015.4,170,3,1,14,1,5,246.0,156.0,110.78285714285714,340.0,99.0,175.0,201.0
Indore,2024-01-03 15:00:00,72.15,111.26,47.68,13.66,1.1,26.68,37.6,55.4,7.8,0.0,1014.6,162,3,1,15,1,3,170.0,269.0,108.74285714285715,288.0,279.0,388.0,284.0
Pune,2024-01-03 16:00:00,152.5,238.71,35.66,7.54,1.36,27.32,36.9,52.9,8.3,0.0,1028.0,324,3,1,16,1,6,162.0,319.0,115.15285714285713,232.0,277.0,196.0,261.0
Mumbai,2024-01-03 17:00:00,174.25,291.05,19.62,16.27,1.68,52.61,33.0,54.7,9.7,3.0,1016.3,372,3,1,17,1,4,324.0,275.0,121.00999999999999,301.0,463.0,237.0,216.0
Mumbai,2024-01-03 18:00:00,117.12,194.8,37.02,14.64,1.27,14.87,30.8,45.8,11.3,3.0,1016.0,257,3,1,18,1,4,372.0,239.0,115.02428571428572,279.0,249.0,338.0,459.0
Indore,2024-01-03 19:00:00,160.14,228.69,38.12,19.45,1.57,27.32,38.6,62.0,10.5,0.0,1006.7,331,3,1,19,1,3,257.0,246.0,123.49714285714286,348.0,289.0,159.0,325.0
Delhi,2024-01-03 20:00:00,134.47,209.51,49.71,15.54,0.31,58.26,40.4,39.8,9.2,0.0,1021.4,291,3,1,20,1,2,331.0,145.0,126.62571428571428,205.0,273.0,270.0,95.0
Delhi,2024-01-03 21:00:00,94.2,138.72,42.48,25.19,1.37,41.42,26.1,27.8,2.5,0.0,1009.0,202,3,1,21,1,2,291.0,210.0,129.26142857142858,241.0,172.0,372.0,280.0
Mumbai,2024-01-03 22:00:00,134.46,196.67,59.01,17.98,0.56,40.69,20.2,61.5,5.9,0.0,1006.5,288,3,1,22,1,4,202.0,226.0,138.16285714285712,219.0,371.0,121.0,213.0
Pune,2024-01-03 23:00:00,181.52,314.2,38.19,21.05,0.8,67.85,25.1,58.3,10.1,3.0,1010.7,398,3,1,23,1,6,288.0,335.0,142.3085714285714,144.0,323.0,255.0,332.0
Bhopal,2024-01-04 00:00:00,118.57,167.98,47.09,21.1,1.31,41.45,46.0,48.9,8.3,0.0,1014.6,250,4,1,0,1,1,398.0,286.0,134.3542857142857,288.0,325.0,287.0,199.0
Bengaluru,2024-01-04 01:00:00,182.59,286.23,66.94,21.36,2.04,28.09,16.0,37.5,10.1,15.0,1009.2,395,4,1,1,1,5,250.0,118.0,143.70714285714286,296.0,188.0,330.0,257.0
Indore,2024-01-04 02:00:00,15.21,22.32,53.47,19.83,1.59,34.05,23.7,62.6,13.5,0.0,1006.7,47,4,1,2,1,3,395.0,289.0,123.00285714285714,267.0,395.0,157.0,296.0
Bhopal,2024-01-04 03:00:00,152.88,267.8,47.04,23.57,1.41,22.1,17.1,42.2,3.7,0.0,1006.6,341,4,1,3,1,1,47.0,242.0,125.63285714285715,237.0,143.0,154.0,331.0
Pune,2024-01-04 04:00:00,123.48,200.39,38.37,14.43,1.39,55.58,27.9,55.8,11.1,3.0,1013.2,268,4,1,4,1,6,341.0,208.0,129.81571428571428,141.0,311.0,297.0,166.0
Bengaluru,2024-01-04 05:00:00,108.04,161.25,37.87,29.8,1.04,46.04,18.6,86.2,6.4,15.0,1015.4,230,4,1,5,1,5,268.0,293.0,126.04142857142857,223.0,448.0,297.0,237.0
Mumbai,2024-01-04 06:00:00,123.67,197.99,34.39,18.34,1.13,53.74,26.2,68.4,10.5,15.0,1015.9,266,4,1,6,1,4,230.0,341.0,117.77714285714285,242.0,182.0,300.0,233.0
Indore,2024-01-04 07:00:00,40.5,68.55,39.34,10.82,1.61,54.98,13.3,36.1,7.4,0.0,1002.7,97,4,1,7,1,3,266.0,336.0,106.62428571428572,197.0,214.0,275.0,212.0
Bhopal,2024-01-04 08:00:00,111.21,198.32,60.09,21.32,0.71,32.2,31.3,37.6,14.3,0.0,1007.0,257,4,1,8,1,1,97.0,192.0,96.42714285714285,248.0,279.0,204.0,429.0
Bengaluru,2024-01-04 09:00:00,134.28,199.84,44.45,14.04,1.7,24.77,35.6,60.4,7.9,15.0,1017.6,285,4,1,9,1,5,257.0,238.0,113.43714285714285,292.0,225.0,294.0,301.0
Mumbai,2024-01-04 10:00:00,179.12,314.25,26.4,24.66,1.21,37.28,24.3,36.0,5.5,0.0,1009.5,391,4,1,10,1,4,285.0,302.0,117.18571428571428,429.0,138.0,291.0,160.0
Mumbai,2024-01-04 11:00:00,99.27,176.08,76.29,35.47,1.81,25.78,26.1,26.0,8.8,0.0,1013.2,236,4,1,11,1,4,391.0,346.0,113.72714285714285,275.0,256.0,195.0,328.0
Bengaluru,2024-01-04 12:00:00,87.66,154.86,53.12,14.49,1.88,40.31,25.9,66.5,8.5,15.0,1027.8,204,4,1,12,1,5,236.0,220.0,110.8157142857143,272.0,172.0,398.0,448.0
Delhi,2024-01-04 13:00:00,99.93,165.3,25.49,22.33,0.56,53.85,28.3,63.1,11.1,0.0,998.5,217,4,1,13,1,2,204.0,246.0,107.42428571428572,249.0,300.0,287.0,333.0
Delhi,2024-01-04 14:00:00,156.62,258.72,40.93,7.71,1.11,35.65,26.7,65.2,8.9,0.0,1011.2,340,4,1,14,1,2,217.0,170.0,124.01285714285714,99.0,175.0,169.0,142.0
Bengaluru,2024-01-04 15:00:00,133.15,207.89,49.77,23.18,0.97,40.1,32.4,62.2,15.4,3.0,1016.2,288,4,1,15,1,5,340.0,162.0,127.14714285714285,279.0,388.0,311.0,214.0
Bengaluru,2024-01-04 16:00:00,98.81,168.07,75.27,13.8,0.49,36.69,35.6,57.0,7.1,0.0,1006.1,232,4,1,16,1,5,288.0,324.0,122.08000000000001,277.0,196.0,171.0,378.0
Bengaluru,2024-01-04 17:00:00,140.53,226.61,30.27,15.63,0.88,49.24,21.3,47.4,7.2,0.0,1011.2,301,4,1,17,1,5,232.0,372.0,116.56714285714285,463.0,237.0,327.0,204.0
Mumbai,2024-01-04 18:00:00,123.88,207.01,63.62,12.29,2.62,28.65,24.8,66.3,5.6,3.0,1004.8,279,4,1,18,1,4,301.0,257.0,120.08285714285715,249.0,338.0,349.0,290.0
Pune,2024-01-04 19:00:00,158.75,249.45,70.39,25.13,1.7,7.25,33.3,82.5,7.8,0.0,1015.5,348,4,1,19,1,6,279.0,331.0,130.23857142857142,289.0,159.0,199.0,321.0
Pune,2024-01-04 20:00:00,91.92,155.58,37.94,27.05,2.36,44.59,17.0,50.0,8.2,0.0,1008.0,205,4,1,20,1,6,348.0,291.0,129.09428571428572,273.0,270.0,336.0,198.0
Indore,2024-01-04 21:00:00,106.89,184.9,43.56,20.16,1.81,51.83,13.2,41.7,8.4,0.0,1009.4,241,4,1,21,1,3,205.0,202.0,121.99000000000001,172.0,372.0,285.0,252.0
Mumbai,2024-01-04 22:00:00,104.32,152.15,31.42,13.95,1.03,44.25,28.6,39.8,7.7,15.0,1017.4,219,4,1,22,1,4,241.0,288.0,117.87142857142858,371.0,121.0,339.0,48.0
Mumbai,2024-01-04 23:00:00,61.46,106.52,44.74,31.13,1.21,29.04,30.5,44.1,5.5,0.0,1015.3,144,4,1,23,1,4,219.0,398.0,112.53571428571429,323.0,255.0,413.0,177.0
Delhi,2024-01-05 00:00:00,131.84,213.08,47.41,14.75,1.69,22.11,21.9,61.2,4.7,15.0,1017.8,288,5,1,0,1,2,144.0,250.0,111.2942857142857,325.0,287.0,258.0,231.0
Bengaluru,2024-01-05 01:00:00,130.44,226.69,58.55,4.87,1.62,44.92,22.9,23.8,6.3,0.0,1022.5,296,5,1,1,1,5,288.0,395.0,112.23142857142857,188.0,330.0,202.0,167.0
Mumbai,2024-01-05 02:00:00,120.2,189.02,65.44,23.21,1.11,39.98,21.7,65.0,11.2,15.0,1012.4,267,5,1,2,1,4,296.0,47.0,106.72428571428573,395.0,157.0,185.0,400.0
Mumbai,2024-01-05 03:00:00,110.62,171.63,36.03,12.27,0.65,36.24,20.9,68.3,11.8,0.0,1024.7,237,5,1,3,1,4,267.0,341.0,109.3957142857143,143.0,154.0,211.0,152.0
Bengaluru,2024-01-05 04:00:00,63.39,111.94,16.52,26.92,3.04,63.51,31.9,29.2,7.3,0.0,1013.2,141,5,1,4,1,5,237.0,268.0,103.18142857142858,311.0,297.0,247.0,224.0
Pune,2024-01-05 05:00:00,103.17,154.81,47.66,17.33,1.33,24.74,18.7,42.3,4.5,0.0,1019.9,223,5,1,5,1,6,141.0,230.0,103.01714285714286,448.0,297.0,299.0,279.0
Indore,2024-01-05 06:00:00,106.29,184.7,52.7,24.23,1.24,62.85,25.1,59.3,7.2,0.0,1011.8,242,5,1,6,1,3,223.0,266.0,109.42142857142858,182.0,300.0,277.0,381.0
Delhi,2024-01-05 07:00:00,87.91,140.09,51.99,29.81,1.46,38.44,20.7,55.7,14.2,15.0,1017.0,197,5,1,7,1,2,242.0,97.0,103.1457142857143,214.0,275.0,337.0,148.0
Bhopal,2024-01-05 08:00:00,113.55,182.32,42.77,11.54,1.28,12.3,16.8,66.3,10.7,0.0,1009.4,248,5,1,8,1,1,197.0,257.0,100.73285714285714,279.0,204.0,262.0,375.0
Pune,2024-01-05 09:00:00,136.16,207.43,50.0,16.04,1.46,35.49,33.1,55.7,9.3,15.0,1020.0,292,5,1,9,1,6,248.0,285.0,103.01285714285713,225.0,294.0,389.0,260.0
Mumbai,2024-01-05 10:00:00,195.45,318.43,72.25,19.47,2.04,51.43,23.4,78.2,10.6,0.0,1018.9,429,5,1,10,1,4,292.0,391.0,115.13142857142857,138.0,291.0,253.0,179.0
Indore,2024-01-05 11:00:00,126.98,194.29,54.11,30.76,1.34,32.89,28.3,52.9,12.4,15.0,1010.7,275,5,1,11,1,3,429.0,236.0,124.21571428571428,256.0,195.0,500.0,297.0
Bhopal,2024-01-05 12:00:00,130.3,184.47,42.03,15.39,0.82,17.35,16.4,42.3,3.8,3.0,1012.9,272,5,1,12,1,1,275.0,204.0,128.0914285714286,172.0,398.0,306.0,289.0
Pune,2024-01-05 13:00:00,117.02,176.56,40.0,15.84,1.32,35.7,21.8,41.0,6.2,0.0,1006.3,249,5,1,13,1,6,272.0,217.0,129.62428571428572,300.0,287.0,180.0,206.0
Pune,2024-01-05 14:00:00,43.25,60.66,45.28,23.35,1.17,26.0,32.3,69.8,5.8,0.0,1017.6,99,5,1,14,1,6,249.0,340.0,123.24428571428572,175.0,169.0,188.0,260.0
Bengaluru,2024-01-05 15:00:00,118.94,213.06,74.19,15.96,2.11,44.89,45.1,58.5,9.4,0.0,1017.0,279,5,1,15,1,5,99.0,288.0,124.01428571428572,388.0,311.0,316.0,232.0
Bhopal,2024-01-05 16:00:00,122.41,218.66,45.07,21.07,1.99,48.83,13.2,68.1,8.0,0.0,1004.6,277,5,1,16,1,1,279.0,232.0,122.05,196.0,171.0,234.0,279.0
Bengaluru,2024-01-05 17:00:00,218.53,340.48,47.68,9.14,1.45,23.21,25.6,67.8,9.9,15.0,1025.0,463,5,1,17,1,5,277.0,301.0,125.34714285714287,237.0,327.0,327.0,316.0
Pune,2024-01-05 18:00:00,112.31,189.95,40.28,35.5,0.76,28.12,29.9,25.7,5.9,3.0,1014.4,249,5,1,18,1,6,463.0,279.0,123.25142857142858,338.0,349.0,293.0,382.0
Pune,2024-01-05 19:00:00,132.06,203.15,65.58,10.57,0.79,48.59,22.7,39.8,11.9,0.0,1010.6,289,5,1,19,1,6,249.0,348.0,123.50285714285714,159.0,199.0,267.0,162.0
Pune,2024-01-05 20:00:00,118.61,197.9,79.36,17.75,1.41,25.98,32.9,41.7,7.3,0.0,1019.2,273,5,1,20,1,6,289.0,205.0,123.72999999999999,270.0,336.0,185.0,433.0
Indore,2024-01-05 21:00:00,73.25,126.15,55.21,19.77,1.57,22.85,20.9,44.9,9.7,0.0,1008.9,172,5,1,21,1,3,273.0,241.0,128.01571428571427,372.0,285.0,137.0,106.0
Pune,2024-01-05 22:00:00,165.71,294.75,49.32,33.39,1.21,21.5,28.1,51.3,11.3,0.0,1019.8,371,5,1,22,1,6,172.0,219.0,134.69714285714286,121.0,339.0,230.0,257.0
Bhopal,2024-01-05 23:00:00,150.08,234.13,48.59,10.73,1.16,42.93,23.3,74.0,11.1,0.0,1004.9,323,5,1,23,1,1,371.0,144.0,138.65,255.0,413.0,314.0,300.0
Delhi,2024-01-06 00:00:00,151.64,259.81,9.85,33.89,1.1,42.33,35.5,77.2,8.7,0.0,1010.7,325,6,1,0,1,2,323.0,288.0,129.09428571428572,287.0,258.0,281.0,291.0
Indore,2024-01-06 01:00:00,83.62,125.97,59.92,25.3,1.39,28.42,22.3,53.3,10.1,3.0,1011.5,188,6,1,1,1,3,325.0,296.0,124.99571428571429,330.0,202.0,164.0,214.0
Bhopal,2024-01-06 02:00:00,176.11,316.32,50.15,22.92,0.21,38.07,24.5,54.0,13.1,0.0,1008.7,395,6,1,2,1,1,188.0,267.0,131.28857142857143,157.0,185.0,273.0,241.0
Mumbai,2024-01-06 03:00:00,63.93,90.16,54.85,13.11,0.85,59.38,33.6,46.7,9.1,0.0,1007.6,143,6,1,3,1,4,395.0,237.0,123.47714285714287,154.0,211.0,296.0,226.0
Bhopal,2024-01-06 04:00:00,143.47,235.5,36.62,24.0,1.09,24.36,19.8,59.4,5.2,0.0,1009.1,311,6,1,4,1,1,143.0,141.0,133.50857142857143,297.0,247.0,185.0,216.0
Bhopal,2024-01-06 05:00:00,207.62,345.44,41.85,14.94,2.0,10.68,27.5,61.2,9.4,0.0,1008.8,448,6,1,5,1,1,311.0,223.0,139.49571428571429,297.0,299.0,268.0,332.0
Delhi,2024-01-06 06:00:00,80.38,134.65,41.42,28.87,0.99,44.37,14.2,70.9,7.4,0.0,1009.2,182,6,1,6,1,2,448.0,242.0,129.53857142857143,300.0,277.0,266.0,287.0
Indore,2024-01-06 07:00:00,97.35,140.98,64.35,13.2,1.49,36.45,19.4,70.8,0.5,0.0,1020.6,214,6,1,7,1,3,182.0,197.0,121.78285714285714,275.0,337.0,176.0,195.0
