City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,Rainfall,Pressure,AQI
Mumbai,2024-01-04 22:00:00,104.32,152.15,31.42,13.95,1.03,44.25,28.6,39.8,7.7,15.0,1017.4,219
Mumbai,2024-01-04 23:00:00,61.46,106.52,44.74,31.13,1.21,29.04,30.5,44.1,5.5,0.0,1015.3,144
Delhi,2024-01-05 00:00:00,131.84,213.08,47.41,14.75,1.69,22.11,21.9,61.2,4.7,15.0,1017.8,288
Bengaluru,2024-01-05 01:00:00,130.44,226.69,58.55,4.87,1.62,44.92,22.9,23.8,6.3,0.0,1022.5,296
Mumbai,2024-01-05 02:00:00,120.2,189.02,65.44,23.21,1.11,39.98,21.7,65.0,11.2,15.0,1012.4,267
Mumbai,2024-01-05 03:00:00,110.62,171.63,36.03,12.27,0.65,36.24,20.9,68.3,11.8,0.0,1024.7,237
Bengaluru,2024-01-05 04:00:00,63.39,111.94,16.52,26.92,3.04,63.51,31.9,29.2,7.3,0.0,1013.2,141
Pune,2024-01-05 05:00:00,103.17,154.81,47.66,17.33,1.33,24.74,18.7,42.3,4.5,0.0,1019.9,223
Indore,2024-01-05 06:00:00,106.29,184.7,52.7,24.23,1.24,62.85,25.1,59.3,7.2,0.0,1011.8,242
Delhi,2024-01-05 07:00:00,87.91,140.09,51.99,29.81,1.46,38.44,20.7,55.7,14.2,15.0,1017.0,197
Bhopal,2024-01-05 08:00:00,113.55,182.32,42.77,11.54,1.28,12.3,16.8,66.3,10.7,0.0,1009.4,248
Pune,2024-01-05 09:00:00,136.16,207.43,50.0,16.04,1.46,35.49,33.1,55.7,9.3,15.0,1020.0,292
Mumbai,2024-01-05 10:00:00,195.45,318.43,72.25,19.47,2.04,51.43,23.4,78.2,10.6,0.0,1018.9,429
Indore,2024-01-05 11:00:00,126.98,194.29,54.11,30.76,1.34,32.89,28.3,52.9,12.4,15.0,1010.7,275
Bhopal,2024-01-05 12:00:00,130.3,184.47,42.03,15.39,0.82,17.35,16.4,42.3,3.8,3.0,1012.9,272
Pune,2024-01-05 13:00:00,117.02,176.56,40.0,15.84,1.32,35.7,21.8,41.0,6.2,0.0,1006.3,249
Pune,2024-01-05 14:00:00,43.25,60.66,45.28,23.35,1.17,26.0,32.3,69.8,5.8,0.0,1017.6,99
Bengaluru,2024-01-05 15:00:00,118.94,213.06,74.19,15.96,2.11,44.89,45.1,58.5,9.4,0.0,1017.0,279
Bhopal,2024-01-05 16:00:00,122.41,218.66,45.07,21.07,1.99,48.83,13.2,68.1,8.0,0.0,1004.6,277
Bengaluru,2024-01-05 17:00:00,218.53,340.48,47.68,9.14,1.45,23.21,25.6,67.8,9.9,15.0,1025.0,463
Pune,2024-01-05 18:00:00,112.31,189.95,40.28,35.5,0.76,28.12,29.9,25.7,5.9,3.0,1014.4,249
Pune,2024-01-05 19:00:00,132.06,203.15,65.58,10.57,0.79,48.59,22.7,39.8,11.9,0.0,1010.6,289
Pune,2024-01-05 20:00:00,118.61,197.9,79.36,17.75,1.41,25.98,32.9,41.7,7.3,0.0,1019.2,273
Indore,2024-01-05 21:00:00,73.25,126.15,55.21,19.77,1.57,22.85,20.9,44.9,9.7,0.0,1008.9,172
Pune,2024-01-05 22:00:00,165.71,294.75,49.32,33.39,1.21,21.5,28.1,51.3,11.3,0.0,1019.8,371
Bhopal,2024-01-05 23:00:00,150.08,234.13,48.59,10.73,1.16,42.93,23.3,74.0,11.1,0.0,1004.9,323
Delhi,2024-01-06 00:00:00,151.64,259.81,9.85,33.89,1.1,42.33,35.5,77.2,8.7,0.0,1010.7,325
Indore,2024-01-06 01:00:00,83.62,125.97,59.92,25.3,1.39,28.42,22.3,53.3,10.1,3.0,1011.5,188
Bhopal,2024-01-06 02:00:00,176.11,316.32,50.15,22.92,0.21,38.07,24.5,54.0,13.1,0.0,1008.7,395
Mumbai,2024-01-06 03:00:00,63.93,90.16,54.85,13.11,0.85,59.38,33.6,46.7,9.1,0.0,1007.6,143
Bhopal,2024-01-06 04:00:00,143.47,235.5,36.62,24.0,1.09,24.36,19.8,59.4,5.2,0.0,1009.1,311
Bhopal,2024-01-06 05:00:00,207.62,345.44,41.85,14.94,2.0,10.68,27.5,61.2,9.4,0.0,1008.8,448
Delhi,2024-01-06 06:00:00,80.38,134.65,41.42,28.87,0.99,44.37,14.2,70.9,7.4,0.0,1009.2,182
Indore,2024-01-06 07:00:00,97.35,140.98,64.35,13.2,1.49,36.45,19.4,70.8,0.5,0.0,1020.6,214
Mumbai,2024-01-06 08:00:00,123.99,220.13,41.94,19.21,1.51,28.06,29.7,21.2,9.0,0.0,1014.6,279
Pune,2024-01-06 09:00:00,99.86,147.04,81.32,16.11,2.05,47.13,20.1,55.6,7.9,0.0,1011.5,225
Indore,2024-01-06 10:00:00,57.97,95.6,54.89,13.09,2.03,49.75,23.2,80.1,11.2,0.0,1016.6,138
Indore,2024-01-06 11:00:00,122.74,182.77,27.59,25.19,1.37,7.08,30.5,51.0,5.1,0.0,1011.4,256
Mumbai,2024-01-06 12:00:00,77.51,118.04,45.94,23.75,1.16,28.86,22.9,76.2,2.7,3.0,1007.2,172
Mumbai,2024-01-06 13:00:00,138.94,224.89,37.57,28.46,1.07,70.45,32.8,53.1,8.0,0.0,1002.4,300
Delhi,2024-01-06 14:00:00,83.22,130.4,12.89,7.54,1.28,46.17,28.5,60.8,8.7,0.0,1017.9,175
Bengaluru,2024-01-06 15:00:00,182.0,266.46,73.59,27.45,1.18,47.47,30.0,39.8,7.8,0.0,998.6,388
Delhi,2024-01-06 16:00:00,88.67,130.2,59.25,37.54,1.68,54.42,35.7,40.4,7.6,0.0,1002.9,196
Pune,2024-01-06 17:00:00,107.12,167.88,56.53,16.84,1.61,38.24,29.2,69.6,4.1,0.0,1015.0,237
Mumbai,2024-01-06 18:00:00,152.54,259.76,50.65,33.27,1.7,49.15,37.8,72.1,7.1,0.0,1011.9,338
Bhopal,2024-01-06 19:00:00,70.77,124.49,25.89,18.16,2.03,48.05,33.4,58.4,6.4,15.0,1020.8,159
Bhopal,2024-01-06 20:00:00,129.1,185.08,40.26,10.39,2.33,45.55,23.3,38.4,10.9,0.0,1008.1,270
Indore,2024-01-06 21:00:00,172.29,268.29,61.47,17.86,1.46,33.49,36.1,58.7,8.7,3.0,1016.6,372
Indore,2024-01-06 22:00:00,55.7,80.21,31.18,27.34,1.95,40.41,28.8,78.1,6.6,0.0,1010.9,121
Bengaluru,2024-01-06 23:00:00,127.39,179.18,7.49,14.13,1.22,29.76,24.2,85.9,13.0,0.0,1015.3,255
Bengaluru,2024-01-07 00:00:00,130.4,217.07,44.37,15.8,1.99,38.18,28.9,52.9,6.6,0.0,1013.0,287
Bengaluru,2024-01-07 01:00:00,151.27,248.24,45.73,24.15,1.93,21.64,34.8,31.4,9.3,0.0,1015.0,330
Bengaluru,2024-01-07 02:00:00,70.52,103.33,50.17,20.02,1.9,26.93,30.2,71.4,7.0,0.0,1013.3,157
Bhopal,2024-01-07 03:00:00,67.18,100.34,59.66,24.09,1.45,34.05,39.8,53.6,12.7,3.0,1013.8,154
Mumbai,2024-01-07 04:00:00,140.88,198.56,58.2,21.66,1.07,24.79,34.6,73.1,7.8,15.0,1005.5,297
Pune,2024-01-07 05:00:00,131.88,228.68,52.14,23.36,0.7,30.93,30.7,62.5,7.9,0.0,1012.5,297
Pune,2024-01-07 06:00:00,130.02,232.72,67.13,16.97,1.38,35.71,19.8,43.9,7.1,3.0,1015.6,300
Bengaluru,2024-01-07 07:00:00,133.86,194.65,23.7,21.62,2.17,43.63,25.7,58.9,8.1,0.0,1011.7,275
Delhi,2024-01-07 08:00:00,92.8,138.51,56.07,13.51,1.25,51.29,27.5,78.9,11.3,0.0,1011.4,204
Pune,2024-01-07 09:00:00,129.29,225.92,58.02,29.02,1.79,31.51,31.9,55.6,10.2,0.0,1000.7,294
Bengaluru,2024-01-07 10:00:00,131.72,233.23,28.17,15.56,1.82,56.69,31.5,41.4,7.6,0.0,1021.2,291
Bhopal,2024-01-07 11:00:00,91.43,143.34,23.95,27.9,1.26,51.14,28.2,32.6,12.9,0.0,1003.8,195
Indore,2024-01-07 12:00:00,194.63,276.42,36.06,18.36,2.06,45.06,27.8,45.6,10.3,15.0,1008.3,398
Delhi,2024-01-07 13:00:00,138.95,196.72,37.42,21.41,0.1,40.15,32.0,51.4,6.1,0.0,1007.3,287
Bengaluru,2024-01-07 14:00:00,72.35,117.9,60.05,16.54,0.79,42.47,21.0,71.1,3.1,0.0,1013.8,169
Bhopal,2024-01-07 15:00:00,146.26,227.75,38.17,12.89,0.94,54.62,38.9,40.1,6.2,0.0,1014.1,311
Indore,2024-01-07 16:00:00,81.01,114.35,34.3,7.79,0.99,55.13,12.7,82.9,8.8,15.0,1016.0,171
Bengaluru,2024-01-07 17:00:00,151.48,247.42,38.21,12.61,1.57,56.69,37.2,36.6,9.4,15.0,1016.2,327
Bhopal,2024-01-07 18:00:00,166.34,233.63,65.9,17.73,1.55,38.58,26.7,95.3,11.8,0.0,1022.3,349
Bhopal,2024-01-07 19:00:00,87.17,149.5,48.21,21.48,1.6,45.77,34.0,85.6,4.0,0.0,1010.2,199
Mumbai,2024-01-07 20:00:00,158.54,241.38,45.13,27.07,1.7,56.81,29.5,60.3,6.1,0.0,1007.0,336
Bhopal,2024-01-07 21:00:00,136.51,193.31,46.24,16.88,0.92,29.27,29.4,31.6,3.7,0.0,1010.6,285
Bengaluru,2024-01-07 22:00:00,152.88,250.01,68.67,13.83,0.79,33.54,30.9,57.1,3.2,0.0,1005.4,339
Bhopal,2024-01-07 23:00:00,195.87,305.38,36.01,9.9,1.6,38.22,32.7,51.8,5.5,0.0,1009.9,413
Delhi,2024-01-08 00:00:00,110.18,197.18,69.05,23.36,1.08,50.59,24.7,37.6,8.7,0.0,1002.7,258
Bhopal,2024-01-08 01:00:00,89.85,145.35,51.37,29.68,0.61,50.81,34.2,62.7,10.0,0.0,1007.0,202
Bhopal,2024-01-08 02:00:00,84.42,127.48,45.43,28.86,1.89,34.77,19.4,44.8,4.5,0.0,1001.9,185
Pune,2024-01-08 03:00:00,87.37,147.11,88.01,24.97,2.1,16.88,27.0,46.6,4.9,3.0,1019.3,211
Delhi,2024-01-08 04:00:00,116.92,176.38,31.11,24.47,2.18,41.45,32.9,54.7,1.8,0.0,1012.7,247
Bengaluru,2024-01-08 05:00:00,133.65,235.44,42.34,31.88,1.49,25.14,34.0,48.8,8.2,3.0,1023.3,299
Indore,2024-01-08 06:00:00,131.07,203.14,28.28,22.32,1.71,17.14,30.2,91.3,5.2,3.0,1018.7,277
Mumbai,2024-01-08 07:00:00,153.09,247.99,63.24,24.52,2.08,20.31,24.2,49.4,12.8,0.0,1019.3,337
Pune,2024-01-08 08:00:00,120.52,171.17,75.03,17.75,1.08,42.57,33.3,65.1,8.8,15.0,1011.2,262
Indore,2024-01-08 09:00:00,178.14,279.76,74.72,10.47,1.96,57.05,22.3,60.3,7.0,0.0,1014.9,389
Bengaluru,2024-01-08 10:00:00,109.41,189.61,67.58,15.21,1.54,38.54,39.3,63.6,5.4,3.0,1006.6,253
Bengaluru,2024-01-08 11:00:00,228.81,394.06,44.84,19.94,1.86,40.96,26.4,64.9,2.7,0.0,1008.8,500
Pune,2024-01-08 12:00:00,145.03,216.05,42.16,20.43,1.49,54.56,16.2,72.1,3.1,0.0,1012.1,306
Delhi,2024-01-08 13:00:00,85.71,127.75,21.26,33.48,2.05,16.38,18.6,62.3,5.5,0.0,1001.6,180
Indore,2024-01-08 14:00:00,77.16,133.26,80.57,20.57,1.51,45.28,27.3,61.6,5.3,3.0,1009.0,188
Bhopal,2024-01-08 15:00:00,139.3,246.86,55.5,28.25,0.66,37.84,28.0,58.9,4.3,0.0,1016.8,316
Delhi,2024-01-08 16:00:00,111.06,159.72,40.13,16.95,2.13,45.92,40.8,55.8,8.7,0.0,1009.1,234
Delhi,2024-01-08 17:00:00,148.56,234.73,69.25,17.82,0.93,31.23,19.7,43.4,9.1,15.0,1007.6,327
Mumbai,2024-01-08 18:00:00,138.93,213.25,32.44,10.7,2.03,26.55,27.3,57.0,6.0,15.0,1009.7,293
Delhi,2024-01-08 19:00:00,117.09,204.7,54.51,14.8,1.35,39.97,19.6,61.9,13.7,0.0,1016.5,267
Indore,2024-01-08 20:00:00,86.13,123.46,45.24,23.69,1.99,61.09,23.6,64.4,1.9,3.0,1014.2,185
Bengaluru,2024-01-08 21:00:00,59.41,88.19,58.22,20.05,1.97,50.05,38.8,60.9,7.7,0.0,1010.6,137
Pune,2024-01-08 22:00:00,102.14,173.74,46.98,26.6,1.62,30.89,19.0,54.3,6.8,0.0,1012.1,230
Mumbai,2024-01-08 23:00:00,154.26,219.12,24.79,21.27,1.65,19.23,31.1,57.1,5.7,0.0,1017.1,314
Pune,2024-01-09 00:00:00,128.56,205.32,49.21,17.53,1.61,14.45,29.8,49.1,5.3,15.0,1019.8,281
Pune,2024-01-09 01:00:00,70.17,110.65,64.78,35.04,0.39,56.43,26.8,63.0,7.5,0.0,1009.2,164
Bhopal,2024-01-09 02:00:00,126.93,194.68,47.53,19.34,1.46,24.63,30.6,54.5,6.8,3.0,1011.5,273
Indore,2024-01-09 03:00:00,135.41,210.95,60.4,28.14,0.84,33.44,18.9,60.9,6.2,0.0,1019.5,296
Bhopal,2024-01-09 04:00:00,84.65,136.45,31.27,17.19,1.49,56.5,38.6,74.0,3.3,0.0,1015.1,185
Delhi,2024-01-09 05:00:00,126.15,184.75,47.58,24.97,0.83,15.41,40.5,46.7,2.3,0.0,1003.6,268
Indore,2024-01-09 06:00:00,122.33,199.25,38.01,26.5,0.81,58.89,27.3,67.5,6.6,15.0,1006.6,266
Pune,2024-01-09 07:00:00,74.28,127.93,59.95,21.46,2.2,34.45,44.0,58.5,6.2,3.0,1006.8,176
Mumbai,2024-01-09 08:00:00,134.31,228.88,48.5,3.52,1.93,21.92,24.2,90.3,6.9,0.0,1009.5,299
Pune,2024-01-09 09:00:00,142.43,208.17,59.04,20.13,1.4,34.54,29.8,54.5,7.2,0.0,1014.2,304
Mumbai,2024-01-09 10:00:00,163.32,238.4,65.4,28.61,1.49,27.88,37.0,69.1,5.8,0.0,1023.3,347
Bhopal,2024-01-09 11:00:00,162.15,244.41,59.07,23.69,1.28,44.17,23.8,58.2,6.8,0.0,1011.5,347
Bengaluru,2024-01-09 12:00:00,64.89,100.22,52.37,23.12,1.68,28.93,17.3,35.8,4.8,0.0,1016.0,148
Pune,2024-01-09 13:00:00,82.49,128.96,32.03,7.94,1.06,11.24,15.7,49.7,12.4,0.0,1018.8,179
Mumbai,2024-01-09 14:00:00,140.6,235.07,47.96,14.96,1.9,34.91,41.4,72.1,4.9,0.0,1020.9,310
Bhopal,2024-01-09 15:00:00,140.55,199.96,39.47,22.88,1.27,19.01,23.3,51.1,6.3,0.0,1018.8,292
Bengaluru,2024-01-09 16:00:00,140.6,198.79,42.49,22.87,1.19,40.86,25.7,22.5,5.2,3.0,1007.5,292
Indore,2024-01-09 17:00:00,274.11,426.72,42.01,28.5,1.41,21.38,19.2,57.5,5.1,0.0,1003.3,500
Mumbai,2024-01-09 18:00:00,142.84,239.8,32.32,18.99,1.1,31.17,33.6,40.5,7.6,15.0,1008.2,310
Mumbai,2024-01-09 19:00:00,165.42,244.39,16.68,22.84,1.56,40.56,21.5,60.1,7.2,0.0,1013.0,338
